row,address,directions
"63","108 E 51st St, New York, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (3 stops), exit at 51 St"
"64","251 West 80th St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (6 stops), exit at West 23 St & 7 Avenue
Walk to 23 St
Subway towards Van Cortlandt Park-242 St — take the 1 Line toward Van Cortlandt Park-242 St (8 stops), exit at 79 St
Walk to 251 W 80th St, New York, NY 10024, USA"
"65","227 Bowery, New York, NY","Walk to 3 Avenue & East 23 Street
Bus towards City Hall via Lex Av — take the M103 toward City Hall via Lex Av (9 stops), exit at Bowery/Prince St
Walk to 227 Bowery, New York, NY 10002, USA"
"66","53 E 3rd St, New York, NY","Walk to 2 Avenue & East 25 Street
Bus towards Pike St -Via 2 Av — take the M15 toward Pike St -Via 2 Av (8 stops), exit at 2 Avenue & East 3 St
Walk to 53 E 3rd St, New York, NY 10003, USA"
"67","601 W 114th St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (6 stops), exit at West 23 St & 7 Avenue
Walk to 23 St
Subway towards Van Cortlandt Park-242 St — take the 1 Line toward Van Cortlandt Park-242 St (13 stops), exit at 116 St-Columbia University
Walk to 601 W 114th St, New York, NY 10025, USA"
"68","8 E 109th St, New York, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (10 stops), exit at 110 St
Walk to 8 E 109th St, New York, NY 10029, USA"
"69","90 Lafayette St, New York, NY","Walk to 28 St
Subway towards Brooklyn Bridge-City Hall — take the 6 Train toward Brooklyn Bridge-City Hall (6 stops), exit at Canal St
Walk to 90 Lafayette St, New York, NY 10013, USA"
"70","80 Catherine St, New York, NY","Walk to 2 Av & E 28 St
Bus towards Select Bus Service South Ferry via 2 Av — take the M15-SBS toward Select Bus Service South Ferry via 2 Av (5 stops), exit at Madison St/Catherine St
Walk to 80 Catherine St, New York, NY 10038, USA"
"71","E 23rd St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (1 stop), exit at E 23 St/2 Av"
"72","1 Clarkson St & 7th Ave, New York, NY","Ask staff for directions to this location."
